label,region,combo,model,beta,gamma,strategy,budget,coverage,efficacy,tau,horizon,seed,spearman_deg_btw,n_anomalous,peak_infected,time_to_peak,final_infected,total_population,vaccinated,final_recovered
sir_betweenness_cov75_seed0_a6127d,europe,air,sir,1.95,0.13,betweenness,15,0.75,0.85,0.0002,1460,0,0.894,7,98202188,21,0,198617857,34671063,163946793.0
sir_betweenness_cov75_seed1_d36fb4,europe,air,sir,1.95,0.13,betweenness,15,0.75,0.85,0.0002,1460,1,0.894,7,93600528,21,0,198617857,34671063,163946793.0
sir_betweenness_cov75_seed2_d431b4,europe,air,sir,1.95,0.13,betweenness,15,0.75,0.85,0.0002,1460,2,0.894,7,88610310,20,0,198617857,34671063,163946794.0
sir_control_seed0_140c33,europe,air,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,0,0.894,7,121401738,21,0,198617857,0,198617855.0
sir_control_seed1_0b5e3f,europe,air,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,1,0.894,7,116373834,21,0,198617857,0,198617856.0
sir_control_seed2_5b191f,europe,air,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,2,0.894,7,110507873,20,0,198617857,0,198617857.0
sir_degree_cov75_seed0_e1b7cf,europe,air,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,0,0.894,7,106169023,21,0,198617857,24012258,174605597.0
sir_degree_cov75_seed1_b54758,europe,air,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,1,0.894,7,101735274,21,0,198617857,24012258,174605598.0
sir_degree_cov75_seed2_faefc9,europe,air,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,2,0.894,7,97108707,20,0,198617857,24012258,174605599.0
sir_random_cov75_seed0_edabdf,europe,air,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,0,0.894,7,119951185,21,0,198617857,3071887,195545969.0
sir_random_cov75_seed1_14cda6,europe,air,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,1,0.894,7,113044373,21,0,198617857,5238831,193379025.0
sir_random_cov75_seed2_6f3c18,europe,air,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,2,0.894,7,109544226,20,0,198617857,3141793,195476064.0
sir_subgraph_cov75_seed0_a32e9b,europe,air,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,0,0.894,7,110571962,21,0,198617857,17813462,180804394.0
sir_subgraph_cov75_seed1_9231ce,europe,air,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,1,0.894,7,106004267,21,0,198617857,17813462,180804394.0
sir_subgraph_cov75_seed2_81663b,europe,air,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,2,0.894,7,101319363,20,0,198617857,17813462,180804395.0
sir_betweenness_cov75_seed0_09e3ae,europe,air+land+water,sir,1.95,0.13,betweenness,30,0.75,0.85,0.0002,1460,0,0.741,17,177935125,16,0,342070105,51424219,290088300.0
