scenario,day,infectious,region,combo
A · full network,0,6991.474623396705,europe,air
A · full network,1,19238.643947175053,europe,air
A · full network,2,50590.52503000125,europe,air
A · full network,3,117198.21042071527,europe,air
A · full network,4,185577.4611931602,europe,air
A · full network,5,163447.9314284336,europe,air
A · full network,6,146845.13708718942,europe,air
A · full network,7,139864.1817136651,europe,air
A · full network,8,154731.28774866223,europe,air
A · full network,9,225876.45764276938,europe,air
A · full network,10,445729.4707900044,europe,air
A · full network,11,1039136.0863740655,europe,air
A · full network,12,2416994.3189606387,europe,air
A · full network,13,4707983.939178419,europe,air
A · full network,14,8840060.294428455,europe,air
A · full network,15,19259596.51293347,europe,air
A · full network,16,39402559.87218687,europe,air
A · full network,17,63979443.48785714,europe,air
A · full network,18,82867393.31829903,europe,air
A · full network,19,102343729.3893745,europe,air
A · full network,20,118005402.03788328,europe,air
A · full network,21,121401738.2382522,europe,air
A · full network,22,116285016.05838013,europe,air
A · full network,23,106407032.65256153,europe,air
A · full network,24,94506297.76983419,europe,air
A · full network,25,83125435.49260324,europe,air
A · full network,26,72597564.36036316,europe,air
A · full network,27,63291695.72285053,europe,air
A · full network,28,55146781.31766456,europe,air
A · full network,29,48120634.47128543,europe,air
A · full network,30,41915436.1959783,europe,air
A · full network,31,36466437.56622423,europe,air
A · full network,32,31725804.514852062,europe,air
A · full network,33,27601451.97016249,europe,air
A · full network,34,24013264.405473292,europe,air
A · full network,35,20891540.779484477,europe,air
A · full network,36,18175640.97385859,europe,air
A · full network,37,15812807.991982374,europe,air
A · full network,38,13757143.20198128,europe,air
A · full network,39,11968714.771152513,europe,air
A · full network,40,10412781.992558338,europe,air
A · full network,41,9059120.444025997,europe,air
A · full network,42,7881434.874003728,europe,air
A · full network,43,6856848.410997689,europe,air
A · full network,44,5965458.175111569,europe,air
A · full network,45,5189948.659713486,europe,air
A · full network,46,4515255.373271342,europe,air
A · full network,47,3928272.2076215735,europe,air
A · full network,48,3417596.8482843535,europe,air
A · full network,49,2973309.281388269,europe,air
A · full network,50,2586779.0946627622,europe,air
A · full network,51,2250497.829280403,europe,air
A · full network,52,1957933.1259454042,europe,air
A · full network,53,1703401.8319808347,europe,air
A · full network,54,1481959.6044876473,europe,air
A · full network,55,1289304.8650881727,europe,air
A · full network,56,1121695.2405494554,europe,air
A · full network,57,975874.8661229934,europe,air
A · full network,58,849011.1394484194,europe,air
A · full network,59,738639.6964482794,europe,air
A · full network,60,642616.5403554139,europe,air
A · full network,61,559076.3939659551,europe,air
A · full network,62,486396.46609879367,europe,air
A · full network,63,423164.9284148156,europe,air
A · full network,64,368153.4902492449,europe,air
A · full network,65,320293.5387154663,europe,air
A · full network,66,278655.3805950999,europe,air
A · full network,67,242430.18278216303,europe,air
A · full network,68,210914.26046932454,europe,air
A · full network,69,183495.40786980995,europe,air
A · full network,70,159641.00594534754,europe,air
A · full network,71,138887.67612938763,europe,air
A · full network,72,120832.27906622624,europe,air
A · full network,73,105124.08351397741,europe,air
A · full network,74,91457.95329010431,europe,air
A · full network,75,79568.41991398524,europe,air
A · full network,76,69224.52580590642,europe,air
A · full network,77,60225.337870152725,europe,air
A · full network,78,52396.04431226769,europe,air
A · full network,79,45584.55887004564,europe,air
A · full network,80,39658.56649447366,europe,air
A · full network,81,34502.95309213319,europe,air
A · full network,82,30017.569401073935,europe,air
A · full network,83,26115.285562810765,europe,air
A · full network,84,22720.298599949434,europe,air
A · full network,85,19766.65992171103,europe,air
A · full network,86,17196.994253729514,europe,air
A · full network,87,14961.385106968148,europe,air
A · full network,88,13016.405135670238,europe,air
A · full network,89,11324.272548770661,europe,air
A · full network,90,9852.117187818958,europe,air
A · full network,91,8571.342014768186,europe,air
A · full network,92,7457.0676063475,europe,air
A · full network,93,6487.648864163077,europe,air
A · full network,94,5644.254552483104,europe,air
A · full network,95,4910.501496108291,europe,air
A · full network,96,4272.136332517071,europe,air
A · full network,97,3716.7586362300844,europe,air
A · full network,98,3233.5800370056586,europe,air
A · full network,99,2813.2146526684664,europe,air
A · full network,100,2447.496765669244,europe,air
A · full network,101,2129.322201690664,europe,air
A · full network,102,1852.510329033522,europe,air
A · full network,103,1611.6839980819066,europe,air
A · full network,104,1402.1650886371854,europe,air
A · full network,105,1219.8836360979592,europe,air
A · full network,106,1061.2987712360853,europe,air
A · full network,107,923.3299378013452,europe,air
A · full network,108,803.2970518370996,europe,air
A · full network,109,698.8684402845504,europe,air
A · full network,110,608.0155475681383,europe,air
A · full network,111,528.9735303245672,europe,air
A · full network,112,460.2069748168193,europe,air
A · full network,113,400.38007108414246,europe,air
A · full network,114,348.3306644523589,europe,air
A · full network,115,303.0476803476772,europe,air
A · full network,116,263.6514838845724,europe,air
A · full network,117,229.3767927071222,europe,air
A · full network,118,199.55781116086598,europe,air
A · full network,119,173.61529702223092,europe,air
A · full network,120,151.04530955305427,europe,air
A · full network,121,131.4094203079486,europe,air
A · full network,122,114.32619653664966,europe,air
A · full network,123,99.46379174400641,europe,air
A · full network,124,86.53349947712695,europe,air
A · full network,125,75.28414512015559,europe,air
A · full network,126,65.49720675569407,europe,air
A · full network,127,56.982570314207905,europe,air
A · full network,128,49.57483655398351,europe,air
A · full network,129,43.13010813366779,europe,air
A · full network,130,37.52319436535761,europe,air
A · full network,131,32.64517934977019,europe,air
A · full network,132,28.401306253825965,europe,air
A · full network,133,24.709136632132545,europe,air
A · full network,134,21.496949036664063,europe,air
A · full network,135,18.702345807172136,europe,air
A · full network,136,16.271040978834655,europe,air
A · full network,137,14.155805761902442,europe,air
A · full network,138,12.315551108985261,europe,air
A · full network,139,10.71452954858475,europe,air
A · full network,140,9.321640780263014,europe,air
A · full network,141,8.109827542434854,europe,air
A · full network,142,7.055550017343153,europe,air
A · full network,143,6.138328563384089,europe,air
A · full network,144,5.340345892227136,europe,air
A · full network,145,4.646100962906905,europe,air
A · full network,146,4.042107869680818,europe,air
A · full network,147,3.51663387446333,europe,air
A · full network,148,3.0594714950420268,europe,air
A · full network,149,2.661740221824131,europe,air
A · full network,150,2.315714011404689,europe,air
A · full network,151,2.014671205969769,europe,air
A · full network,152,1.752763963176259,europe,air
A · full network,153,1.5249046601464475,europe,air
A · full network,154,1.326667064942559,europe,air
A · full network,155,1.154200355748955,europe,air
A · full network,156,1.0041543175600838,europe,air
A · full network,157,0.8736142632985058,europe,air
A · full network,158,0.7600444151871452,europe,air
A · full network,159,0.6612386465427766,europe,air
A · full network,160,0.5752776271360326,europe,air
A · full network,161,0.5004915396543259,europe,air
A · full network,162,0.43542764302434467,europe,air
A · full network,163,0.378822052502408,europe,air
A · full network,164,0.32957518835288707,europe,air
A · full network,165,0.2867304161982681,europe,air
A · full network,166,0.24945546412356404,europe,air
A · full network,167,0.21702625555702904,europe,air
A · full network,168,0.18881284387627104,europe,air
A · full network,169,0.16426717551547568,europe,air
A · full network,170,0.14291244386860869,europe,air
A · full network,171,0.12433382718513031,europe,air
A · full network,172,0.10817043053920428,europe,air
A · full network,173,0.09410827534285539,europe,air
A · full network,174,0.08187420022236874,europe,air
A · full network,175,0.07123055478071624,europe,air
A · full network,176,0.06197058317083112,europe,air
A · full network,177,0.053914407804325756,europe,air
A · full network,178,0.046905535178048616,europe,air
A · full network,179,0.04080781594316503,europe,air
A · full network,180,0.035502800165236624,europe,air
A · full network,181,0.030887436400472434,europe,air
A · full network,182,0.026872069892051494,europe,air
A · full network,183,0.023378701000909802,europe,air
A · full network,184,0.020339470040512987,europe,air
A · full network,185,0.017695339083098113,europe,air
A · full network,186,0.01539494513109492,europe,air
A · full network,187,0.013393602376254414,europe,air
A · full network,188,0.011652434165083833,europe,air
A · full network,189,0.010137617808769032,europe,air
A · full network,190,0.008819727567801743,europe,air
A · full network,191,0.007673163048600706,europe,air
A · full network,192,0.006675651908568085,europe,air
A · full network,193,0.00580781720948508,europe,air
A · full network,194,0.005052801014963088,europe,air
A · full network,195,0.004395936920223589,europe,air
A · full network,196,0.0038244651530043383,europe,air
A · full network,197,0.0033272847113457755,europe,air
A · full network,198,0.002894737723463445,europe,air
A · full network,199,0.0025184218408354927,europe,air
A · full network,200,0.002191027020187465,europe,air
A · full network,201,0.0019061935238179326,europe,air
A · full network,202,0.001658388379880782,europe,air
A · full network,203,0.0014427979028299336,europe,air
A · full network,204,0.0012552341862054847,europe,air
A · full network,205,0.0010920537513569935,europe,air
A · full network,206,0.0009500867718321569,europe,air
A · full network,207,0.0008265754985944553,europe,air
A · full network,208,0.0007191206899620674,europe,air
A · full network,209,0.0006256350056543424,europe,air
"B · air closed, land+water open",0,6991.474623396705,europe,air
"B · air closed, land+water open",1,19236.959163134907,europe,air
"B · air closed, land+water open",2,50560.686732578775,europe,air
"B · air closed, land+water open",3,116874.8073381205,europe,air
"B · air closed, land+water open",4,182741.68937856,europe,air
"B · air closed, land+water open",5,158985.2697593472,europe,air
"B · air closed, land+water open",6,138317.18469063207,europe,air
"B · air closed, land+water open",7,120335.9506808499,europe,air
"B · air closed, land+water open",8,104692.27709233941,europe,air
"B · air closed, land+water open",9,91082.28107033529,europe,air
"B · air closed, land+water open",10,79241.58453119171,europe,air
"B · air closed, land+water open",11,68940.17854213678,europe,air
"B · air closed, land+water open",12,59977.955331659,europe,air
"B · air closed, land+water open",13,52180.82113854333,europe,air
